Method,K,Statistic,Normalization,Exclude,Preselect,Fitness_method,Fitness_score,Sick_F1,Time,Features
excl,12,chi2,exclude,5000,,,0.713,0.99797788936,0.55,"[26555, 7189, 27492, 19041, 29648, 2028, 17725, 5598, 14006, 22243, 17529, 21818]"
subt,13,chi2,substract,,,,0.72,0.998989254448,0.57,"[26555, 7189, 27492, 19041, 28384, 18452, 27562, 29648, 23438, 2028, 17725, 27721, 5598]"
excl,13,chi2,exclude,5000,,,0.714,0.998989254448,0.57,"[26555, 7189, 27492, 19041, 29648, 2028, 17725, 5598, 14006, 22243, 17529, 21818, 11536]"
subt,14,chi2,substract,,,,0.711,0.998989254448,0.57,"[26555, 7189, 27492, 19041, 28384, 18452, 27562, 29648, 23438, 2028, 17725, 27721, 5598, 11120]"
excl,14,chi2,exclude,5000,,,0.715,0.998988634913,0.55,"[26555, 7189, 27492, 19041, 29648, 2028, 17725, 5598, 14006, 22243, 17529, 21818, 11536, 6179]"
ea,3,chi2,exclude,5000,100,combined,0.789,0.996967143808,102.67,"[15335, 7095, 2892]"
sfs,3,chi2,exclude,5000,100,combined,0.708,1.0,31.0,"[26555, 20429, 23248]"
ea,4,chi2,exclude,5000,100,combined,0.784,0.997977269825,104.02,"[11536, 11422, 24890, 19706]"
sfs,4,chi2,exclude,5000,100,combined,0.707,0.998989254448,46.18,"[26555, 20429, 23248, 19041]"
ea,5,chi2,exclude,5000,100,combined,0.778,0.998988634913,105.9,"[13118, 11422, 14232, 14258, 2659]"
sfs,5,chi2,exclude,5000,100,combined,0.707,0.99797788936,61.12,"[26555, 20429, 23248, 19041, 17529]"
ea,6,chi2,exclude,5000,100,combined,0.781,0.993933152178,106.6,"[17725, 13118, 11630, 6245, 25858, 16370]"
sfs,6,chi2,exclude,5000,100,combined,0.707,1.0,76.46,"[26555, 20429, 23248, 21818, 2170, 19041]"
ea,7,chi2,exclude,5000,100,combined,0.784,0.995957636061,107.53,"[27356, 17391, 24890, 21710, 16610, 20606, 15323]"
sfs,7,chi2,exclude,5000,100,combined,0.714,0.998988634913,90.06,"[26555, 20429, 23248, 19041, 17529, 11536, 16610]"
ea,8,chi2,exclude,5000,100,combined,0.757,0.997977269825,107.56,"[29648, 14977, 25653, 28526, 13130, 9916, 26494, 2659]"
sfs,8,chi2,exclude,5000,100,combined,0.715,0.995954383995,104.66,"[26555, 20429, 23248, 19041, 17529, 14258, 16015, 20945]"
ea,9,chi2,exclude,5000,100,combined,0.778,0.997977269825,108.17,"[11422, 3749, 28526, 18736, 14232, 16370, 11628, 13130, 11144]"
sfs,9,chi2,exclude,5000,100,combined,0.717,1.0,119.36,"[26555, 20429, 23248, 21818, 2170, 19041, 11536, 14258, 6931]"
ea,10,chi2,exclude,5000,100,combined,0.761,0.995955830537,108.56,"[8059, 15916, 18736, 28970, 6245, 26706, 11200, 11628, 16610, 5570]"
sfs,10,chi2,exclude,5000,100,combined,0.709,0.998988634913,134.07,"[26555, 20429, 23248, 19041, 17529, 5600, 19254, 1852, 26555, 15916]"
ea,11,chi2,exclude,5000,100,combined,0.767,0.99797788936,114.17,"[3935, 15335, 10341, 24890, 21710, 6245, 16392, 26706, 11854, 28917, 5570]"
sfs,11,chi2,exclude,5000,100,combined,0.703,0.998989254448,147.56,"[26555, 20429, 23248, 19041, 17529, 5600, 12426, 22895, 2170, 19254, 5600]"
ea,12,chi2,exclude,5000,100,combined,0.775,0.99797788936,121.16,"[17725, 21818, 16519, 11422, 17391, 18736, 16370, 12426, 19706, 20606, 9916, 11495]"
