Method,K,Statistic,Normalization,Exclude,Preselect,Fitness_method,Fitness_score,Sick_F1,Time,Features
ea,3,chi2,exclude,5000,500,combined,0.63,0.91415921097,11.38,"[26238, 5368, 18873]"
ea,3,chi2,exclude,5000,500,classification,0.624,0.902513424984,7.15,"[8393, 7413, 29581]"
ea,3,chi2,exclude,5000,500,clustering,0.615,0.963350734486,5.64,"[31156, 29143, 13494]"
ea,3,chi2,exclude,5000,500,distance,0.592,0.955637816647,1.69,"[16356, 22629, 12292]"
sfs,3,chi2,exclude,5000,10,combined,0.63,0.934408921199,0.95,"[4126, 15249, 3349]"
sfs,3,chi2,exclude,5000,10,classification,0.625,0.924803804537,0.76,"[4126, 15249, 5632]"
sfs,3,chi2,exclude,5000,10,clustering,0.6,0.955654215033,0.63,"[4126, 4187, 25947]"
sfs,3,chi2,exclude,5000,10,distance,0.605,0.904543151397,0.4,"[4126, 3131, 4187]"
sfs,3,chi2,exclude,5000,50,combined,0.644,0.967210174371,3.6,"[4126, 15249, 7818]"
sfs,3,chi2,exclude,5000,50,classification,0.643,0.967202029826,2.16,"[4126, 15249, 7818]"
sfs,3,chi2,exclude,5000,50,clustering,0.631,0.954681739603,1.7,"[4126, 12832, 4187]"
sfs,3,chi2,exclude,5000,50,distance,0.593,0.939195585432,0.52,"[4126, 32652, 232]"
sfs,3,chi2,exclude,5000,100,combined,0.656,0.943072374903,7.05,"[4126, 590, 8822]"
sfs,3,chi2,exclude,5000,100,classification,0.654,0.941199558173,3.99,"[4126, 15249, 5368]"
sfs,3,chi2,exclude,5000,100,clustering,0.64,0.953711397783,3.26,"[4126, 12832, 4187]"
sfs,3,chi2,exclude,5000,100,distance,0.563,0.949789577183,0.67,"[4126, 12055, 32652]"
sfs,3,chi2,exclude,5000,500,combined,0.674,0.950778797352,34.57,"[4126, 7397, 6959]"
sfs,3,chi2,exclude,5000,500,classification,0.669,0.972007368404,18.35,"[4126, 7397, 10124]"
sfs,3,chi2,exclude,5000,500,clustering,0.64,0.953725064073,14.3,"[4126, 12832, 4187]"
sfs,3,chi2,exclude,5000,500,distance,0.561,0.887096218656,1.65,"[4126, 35492, 33374]"
ea,5,chi2,exclude,5000,10,combined,0.636,0.934426039832,133.82,"[4187, 3349]"
ea,5,chi2,exclude,5000,10,classification,0.645,0.912259937345,78.56,"[4126, 15249]"
ea,5,chi2,exclude,5000,10,clustering,0.641,0.874559039283,56.01,[4187]
ea,5,chi2,exclude,5000,10,distance,0.611,0.898714801954,4.49,[617]
ea,5,chi2,exclude,5000,50,combined,0.671,0.905448335473,46.94,[12155]
ea,5,chi2,exclude,5000,50,classification,0.64,0.948854486448,23.96,"[12155, 9215, 14229]"
ea,5,chi2,exclude,5000,50,clustering,0.657,0.9498012933,21.87,"[12832, 12155]"
ea,5,chi2,exclude,5000,50,distance,0.578,0.905432946743,2.47,[3452]
ea,5,chi2,exclude,5000,100,combined,0.629,0.970104787781,13.36,"[617, 3131, 27209, 18873]"
ea,5,chi2,exclude,5000,100,classification,0.626,0.963341338644,7.65,"[12832, 18024, 11682, 15471]"
ea,5,chi2,exclude,5000,100,clustering,0.636,0.981685669736,5.23,"[4126, 8053, 14530, 12527, 27794]"
ea,5,chi2,exclude,5000,100,distance,0.577,0.966246824164,0.97,"[10981, 3452, 14033, 6982]"
ea,5,chi2,exclude,5000,500,combined,0.61,0.956573063636,12.56,"[16583, 19239, 15496, 16173, 31404]"
ea,5,chi2,exclude,5000,500,classification,0.628,0.947884780382,7.79,"[590, 27794, 15732, 27697, 12504]"
ea,5,chi2,exclude,5000,500,clustering,0.621,0.958543365857,6.25,"[26238, 29143, 5942, 22010, 25147]"
ea,5,chi2,exclude,5000,500,distance,0.57,0.88802020094,2.11,"[16675, 29700, 30338, 1914, 20717]"
sfs,5,chi2,exclude,5000,10,combined,0.628,0.972013216926,1.66,"[4126, 15249, 3349, 5632, 25947]"
sfs,5,chi2,exclude,5000,10,classification,0.612,0.972989698692,1.19,"[4126, 15249, 15737, 617, 5632]"
sfs,5,chi2,exclude,5000,10,clustering,0.618,0.968177582749,1.02,"[4126, 4187, 25947, 3349, 15249]"
sfs,5,chi2,exclude,5000,10,distance,0.601,0.912285591072,0.55,"[4126, 3131, 4187, 5632, 15737]"
sfs,5,chi2,exclude,5000,50,combined,0.657,0.95847988041,7.79,"[4126, 14530, 12155, 8822, 10981]"
sfs,5,chi2,exclude,5000,50,classification,0.65,0.961431886204,4.25,"[4126, 14530, 14229, 12155, 31127]"
sfs,5,chi2,exclude,5000,50,clustering,0.623,0.977802515275,3.08,"[4126, 12832, 4187, 12155, 8053]"
sfs,5,chi2,exclude,5000,50,distance,0.602,0.967168717427,0.68,"[4126, 32652, 232, 12832, 12155]"
sfs,5,chi2,exclude,5000,100,combined,0.659,0.962363310796,15.65,"[4126, 590, 8393, 8822, 11682]"
sfs,5,chi2,exclude,5000,100,classification,0.667,0.974918154704,8.24,"[4126, 1472, 26238, 19239, 31824]"
sfs,5,chi2,exclude,5000,100,clustering,0.657,0.969143019463,5.58,"[4126, 12832, 4187, 12155, 26238]"
sfs,5,chi2,exclude,5000,100,distance,0.55,0.95366796986,0.91,"[4126, 12055, 32652, 232, 15018]"
sfs,5,chi2,exclude,5000,500,combined,0.683,0.973953826779,67.74,"[4126, 7397, 10124, 6959, 33345]"
sfs,5,chi2,exclude,5000,500,classification,0.676,0.972000314214,38.91,"[4126, 7397, 1068, 1244, 10124]"
sfs,5,chi2,exclude,5000,500,clustering,0.651,0.966236044739,28.33,"[4126, 12832, 4187, 12155, 6959]"
sfs,5,chi2,exclude,5000,500,distance,0.572,0.973962232513,2.86,"[4126, 35492, 33374, 18435, 7818]"
ea,10,chi2,exclude,5000,10,combined,0.64,0.931520389174,134.73,"[4187, 3349]"
ea,10,chi2,exclude,5000,10,classification,0.638,0.909327465341,78.71,"[5632, 4187]"
ea,10,chi2,exclude,5000,10,clustering,0.641,0.874559039283,52.36,[4187]
ea,10,chi2,exclude,5000,10,distance,0.611,0.898714801954,4.46,[617]
ea,10,chi2,exclude,5000,50,combined,0.653,0.96912010399,98.06,"[4126, 4187, 15249, 10981, 8822, 6982, 12155, 27284]"
ea,10,chi2,exclude,5000,50,classification,0.658,0.959484253463,66.6,"[15249, 3349, 10981, 31824, 12452, 232, 27284, 14229]"
ea,10,chi2,exclude,5000,50,clustering,0.616,0.971083346125,37.47,"[4187, 12832, 8053, 14530]"
ea,10,chi2,exclude,5000,50,distance,0.578,0.969153395478,4.07,"[3452, 590, 14033, 6982]"
ea,10,chi2,exclude,5000,100,combined,0.623,0.98648431026,21.98,"[4126, 15249, 5933, 31127, 14033, 12527, 17522, 18169, 12336]"
ea,10,chi2,exclude,5000,100,classification,0.609,0.96526226918,14.6,"[1472, 31824, 12452, 232, 18025, 28757, 27209, 18015, 6697]"
ea,10,chi2,exclude,5000,100,clustering,0.596,0.980722799534,6.11,"[4126, 4187, 16583, 12832, 14530, 12155, 27318, 24658, 15471]"
ea,10,chi2,exclude,5000,100,distance,0.559,0.974927715538,1.17,"[5933, 31156, 9043, 3452, 590, 9215, 14229, 22279, 16772]"
ea,10,chi2,exclude,5000,500,combined,0.622,0.969157455375,14.81,"[8822, 27209, 19239, 16772, 26238, 13494, 14956, 16775, 31914, 29581]"
ea,10,chi2,exclude,5000,500,classification,0.599,0.968116334868,10.1,"[24751, 22768, 233, 14973, 1898, 12820, 28109, 14956, 18016, 17435]"
ea,10,chi2,exclude,5000,500,clustering,0.563,0.981679689601,5.39,"[14229, 9260, 15958, 7337, 13351, 26513, 6959, 14890, 34884, 8308]"
ea,10,chi2,exclude,5000,500,distance,0.56,0.971065002599,1.71,"[18030, 4722, 26208, 5994, 3640, 5307, 6671, 11482, 9321, 15028]"
sfs,10,chi2,exclude,5000,10,combined,0.58,0.98553250426,1.99,"[4126, 15249, 3349, 5632, 25947, 4187, 15737, 3131, 5933, 617]"
sfs,10,chi2,exclude,5000,10,classification,0.588,0.981676819673,1.33,"[4126, 15249, 3349, 4187, 15737, 5632, 3131, 617, 5933, 25947]"
sfs,10,chi2,exclude,5000,10,clustering,0.582,0.983615552021,0.99,"[4126, 4187, 25947, 3349, 15249, 5933, 617, 3131, 5632, 15737]"
sfs,10,chi2,exclude,5000,10,distance,0.581,0.978778039053,0.45,"[4126, 3131, 4187, 5632, 15737, 3349, 5933, 25947, 15249, 617]"
sfs,10,chi2,exclude,5000,50,combined,0.649,0.972010264129,16.46,"[4126, 1472, 590, 14530, 14229, 15249, 12527, 3349, 16583, 31127]"
sfs,10,chi2,exclude,5000,50,classification,0.639,0.969066550558,9.96,"[4126, 590, 8822, 12527, 14530, 27284, 12155, 16583, 14229, 12452]"
sfs,10,chi2,exclude,5000,50,clustering,0.615,0.982640332776,5.87,"[4126, 12832, 4187, 12155, 8053, 14033, 1472, 14530, 27284, 590]"
